name,id,wikidataId,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"gacumbitsi-full-indented","geno000001","","International Criminal Tribunal for Rwanda","0","ICTR-2001-64-I","v. Sylvestre Gacumbitsi","","https://ucr.irmct.org/scasedocs/case/ICTR-01-64#transcripts","","","","","2001","62","false","0.8535390528675861","0.23638286620835536","1.7636171337916446","mr-kouengoua","14.419354838709678","2","","2001","61","62","14","36","12","0","1","447","","58","","30","426245","415727","10917","9504","0"
"muhimana-full-indented","","","","0","ICTR-95-1B-I","Mika Muhimana","","ENTER SOURCE URL HERE","","","","","2023","85","false","0.8574145058071321","0.34901960784313724","1.6509803921568627","mr.|resident","29.31764705882353","2","2023","2023","84","94","20","65","3","0","1","1246","2023","331","","41","801096","788065","12831","27971","0"
"ndindabahizi-full-indented","","","","0","ICTR 2001-71-T","Emmanuel Ndindabahizi","","ENTER SOURCE URL HERE","","","","","2023","48","false","0.8501601173247061","0.5","1.5","mr.|resident|esnier","23.5","2","2023","2023","47","48","8","29","4","1","1","564","2023","181","","27","474462","467061","6743","12968","0"
"renzaho-full-indented","","","","0","ICTR-97-31-I","Tharcisse Renzaho","","ENTER SOURCE URL HERE","","","","","2023","75","false","0.8602967714051926","0.33585585585585587","1.6641441441441442","resident|mr.","24.85333333333333","2","2023","2023","74","76","14","44","9","0","1","932","2023","107","","37","652095","640600","10846","16113","0"
"seromba-full-indented","","","","0","2001-66-I","ATHANASE SEROMBA","","ENTER SOURCE URL HERE","","","","","2023","88","false","0.842843304330437","0.31896551724137934","1.6810344827586208","resident|mr.","27.75","2","2023","2023","87","89","19","52","14","0","1","1221","2023","173","","77","901411","886571","13065","21212","0"
